,% Inhibitor,% Promoter,% Neither,Total Sentences Found
iopn,0.04619745537638664,0.6973406076431274,0.2564619183540344,1
igf-i,0.0036525309551507235,0.09128924459218979,0.9050582051277161,1
gfra,0.2449026803005836,0.7486975835927296,0.006399731155397603,4
adam,0.23766800430603324,0.18598764856287744,0.5763443749383441,5
mirna-21,0.9996600151062012,0.00015942163008730859,0.00018055157852359116,1
tn-c,0.5241753083343307,0.37243972429132555,0.10338497928751167,6
zrf-1,0.20455950874456902,0.24114263196242974,0.5542978316545486,5
wga-hrp,0.44614871207366896,0.004230359145107546,0.549620917424493,7
grap,9.146850788965821e-05,5.7434357586316764e-05,0.9998511075973511,1
nf,0.435785016004229,0.20649455398773472,0.3577204233399243,60
ifnγ,0.8752490103244781,0.12331009978661314,0.0014408671529963612,5
mhc,0.5880424326406473,0.2110117062170852,0.20094586634828515,104
aps,0.13343389052920585,0.04919970043976838,0.8173664049011016,4513
fsk,0.00048368744319304824,0.9970696449279786,0.0024466719245538116,5
anti-fak,0.000417843199102208,0.9983817338943481,0.0012004792224615812,1
vip,0.884360209107399,0.11045921107870527,0.005180592168471776,4
lbp,0.39888514723880736,0.3318463142775152,0.2692685444593448,38
trk,0.7353750787692617,0.1441517939543277,0.12047312975270862,103
ros,0.10585198924673023,0.5397044497209814,0.35444354854178417,33
irs-1,0.9958629012107849,0.002959408680908382,0.0011776519822888076,2
nsc,0.23251402738208596,0.21505172716570087,0.5524342533595,65
rarb,0.959674060344696,0.03939755633473396,0.000928410969208926,1
amp,0.31603057077941105,0.5042374171454277,0.17973202062116675,74
akt,0.7165579734616019,0.22260612106586358,0.06083590561884457,69
ryk,0.631304038342358,0.36380424051573135,0.004891714965005552,19
dbi,0.5116868605837226,0.4857878751354292,0.0025252975756302476,2
gpi- linked protein,0.9968775510787964,0.0015422567958012223,0.0015801453264430165,1
rbpms,0.28622320562173725,0.3238558401460882,0.3899209454853247,19
kspgs,0.9976210594177246,0.0022628763181273825,0.00011601832011365332,2
hsps,0.49221949267666787,0.4516081928935212,0.056172291023055244,6
mapk,0.46377744813999644,0.37717754545557347,0.1590450080001229,29
eph,0.7205807559715229,0.14135088365818915,0.13806836856947227,71
dspgs,0.9696437120437622,0.027523046679561958,0.0028332720103207976,2
ara-c,0.49954838272969937,0.0002701930825423915,0.5001814479473978,2
cralbp,0.4989904591348022,0.4999686172232032,0.0010409195820102468,2
prx,0.21854369342327118,0.0005311600980348885,0.7809250354766846,1
gdnf,0.5062399535165241,0.27789991752033527,0.21586012617238642,120
ghap,0.2697788749394628,0.4637113775660206,0.26650974540777195,15
tgf-β,0.478885850259879,0.17583615976618602,0.3452779810545811,15
babb,0.0005632967701482509,0.36812439273732406,0.6313123248207072,6
tianjin,0.0005600532385869883,0.054103960562921806,0.9453359469771385,12
crmp-2,0.6239656196790747,0.2230692351333346,0.1529651469019882,40
mmps,0.6720219408543926,0.1353997447367874,0.19257832758103177,16
peg,0.34326610852076556,0.1538173104040652,0.5029165811556595,24
ep,0.3098674870620016,0.20192649603595783,0.4882060363161145,10
icam-1,0.47207610083997303,0.3463967617529253,0.18152714218868984,17
chat,0.14381592487132785,0.33362953158071973,0.5225545447946598,13
lim,0.4025717767308379,0.0672856997271083,0.5301425283350909,48
ps6,0.31318963555677326,0.5686004436764052,0.11820992440079862,40
egfp,0.6540702610229885,0.11381366249379762,0.23211607007397106,54
p2,0.5133648265929173,0.063842075040008,0.42279308741913435,49
prg5,0.9827342629432678,0.0012717143399640918,0.015994032844901085,1
tnf-α,0.3144165775512293,0.3889221529178839,0.2966612653015343,18
cpe,0.10007416049172337,0.04276250257420803,0.8571633377910725,7
socs3,0.7910747095903188,0.0817187434850811,0.1272065412689132,154
p-tubulin,0.9990604519844055,0.0008192759123630822,0.00012029908975819126,1
jun/stat6,0.503917683265172,0.46279967232840136,0.03328264000447234,4
gsk3β,0.6996570297512305,0.19465668089440932,0.10568628748689171,89
mf,0.1997217592819652,0.006569764949381352,0.7937084292527288,5
hoxa-1,0.060650818049907684,0.30263841431587934,0.6367107629776001,2
atf-3,0.39243857323593573,0.4123662100520997,0.19519521347743019,49
c6st1,0.9996387958526611,0.00017563457367941737,0.0001854952279245481,1
tlr,0.4971955611060063,0.4922243132023141,0.010580151749309152,6
hs,0.29508183842421554,0.5062338649016904,0.1986842995255746,89
map,0.24587209627286938,0.2029830262246105,0.5511448723262583,150
plp,0.7284408002457995,0.19023153153199626,0.08132765619957354,45
tpa,0.7847324535250664,0.006801863113651052,0.20846572634764016,4
rtks,0.9984752535820007,0.0011494257487356663,0.00037527954555116594,1
glca,0.0003989949545939453,0.3854319266974926,0.6141690984368324,2
pst,0.26531040358843583,0.04724206598101383,0.687447556427547,7
timp-1,0.5762969346717,0.1347048365219962,0.2889982471300755,5
ac,0.09902328102508244,0.023091815327421973,0.8778848955565912,92
ngr1,0.8210503150006726,0.03846705041628348,0.14048263403364206,217
islet,0.5004577065992635,0.2389880900918797,0.2605542426390457,4
mmtv,0.9994930823644003,0.00022872569873773804,0.0002782472874969244,3
gsk-3β,0.9423693556051987,0.05676223775998761,0.0008684103091721996,13
mp,0.4069696390567212,0.14759386214326595,0.44543651135851786,18
kinases,0.6899284244057338,0.1457013434726275,0.16437023667530665,111
gal-1,0.560684291752095,0.18197077728525643,0.2573449310898545,118
rfp,0.1929809041597764,0.5744088277948322,0.2326102356892079,5
bcan,0.344607323097686,0.0040592294341574115,0.6513334466483988,3
oxldl,0.0020038310904055834,0.9960236549377441,0.0019725151360034943,2
s6,0.48343652716565494,0.2947938119376496,0.2217696695934137,56
brn-3a,0.14323529792272893,0.4980982107535965,0.35866650129901245,8
tnfsf,0.3142388239955633,0.335018510154138,0.35074264478559297,9
adifab,0.3978157122473931,0.06381744332611561,0.538366824388504,2
bmp-7,9.265211701858789e-05,0.0007181237451732159,0.9991891980171204,2
abc,0.6116987218734169,0.1096286600402234,0.27867261459753806,191
corp,0.7300065204093699,0.21438348880619743,0.055610002696630544,5
apkc,0.17939370090607554,0.58507463298738,0.23553167516365647,5
rptp,0.22986620404966138,0.43401835030272196,0.3361154511706748,6
dil,0.08819544602803757,0.4400547942238448,0.471749764666012,39
mdgi,0.9996956586837769,0.0001354477572022006,0.0001688343909336254,1
lfa-1,0.0011872730683535337,0.5575800687074661,0.44123266637325287,2
lhrh,0.1657372026282246,0.29227799519430847,0.5419847694225609,5
vcan,0.6597735156704273,0.12339987830325429,0.21682657331153418,7
am-5,0.0016589182196184993,0.9758767485618591,0.02246440015733242,1
ngn-1,0.22221553325653076,0.7736082077026367,0.00417625717818737,1
il-1ra,0.3669134499161208,0.5392671314978295,0.09381941145428838,11
creb,0.37448133614540485,0.5108219375618099,0.11469671863747423,29
bpv,0.8307245844383336,0.16656043696032916,0.0027149803596936786,6
netrin,0.03906305461042883,0.9150156383760847,0.045921300403558865,26
ntfs,0.521509200334549,0.22041699794256905,0.2580738016937782,3
osm,0.04273890425888217,0.07381155744466154,0.8834495324099407,520
tbst,0.13402539046364836,0.5141505728741842,0.3518240614128964,7
plga,0.22240900455558996,0.3271735576848226,0.45041744573466963,69
mnsod,0.20837808214128017,0.3259727815166116,0.46564912237226963,2
acan,0.480849448011011,0.09166774286273317,0.42748278151056085,18
cspg,0.6661123211738428,0.22850787428358701,0.10537980034170658,305
pkg,0.32052441670869786,0.3436741956102196,0.3358013922115788,3
gag,0.5239589862624119,0.3154963452534209,0.16054466290964922,93
rho gdi,0.9973952770233154,0.00015935410920064896,0.0024453660007566214,1
phpma,0.0005900201595068211,0.22293950960374787,0.776470497250557,4
pthrp,0.9942069053649902,0.001195638906210661,0.00459741335362196,1
fdd,0.7103207051753998,0.021033754176460206,0.26864557173103093,5
msg,0.00010235312220174819,0.001280941884033382,0.9986166954040527,1
anti-gfp,0.3782210565654428,0.38790483882517685,0.23387410555941252,14
hrg,0.0007041527035956582,0.9971275925636292,0.0021682293348324797,3
ni,0.24220947729470657,0.06427112942240526,0.693519386236473,52
ha,0.25800274619617614,0.13802559481407672,0.6039716638292363,67
spion,0.0796340088026437,0.3116777880092671,0.6086882136475581,13
xt-1,0.053246863186359406,0.7297366857528687,0.21701641380786896,1
gmf-,0.11238900636817561,0.4569853862049058,0.43062561374972574,4
p5,0.326020401840732,0.23775283755175122,0.4362267546669399,45
mebr,0.4214193975237019,0.1612504450555813,0.41733015286566416,12
gcv,0.8161973774433136,0.016194770077709107,0.16760786124505103,5
rock,0.727024063157635,0.044751598624192084,0.22822433917826856,88
ng2,0.42564554822832573,0.22115791150153838,0.353196538334799,268
gpcr,0.9938725630442301,0.0008437893387357084,0.0052836369529056055,3
sema6,0.04019732028245926,0.9593740105628967,0.00042868044693022966,1
pmsf,0.1436008827835654,0.6465141881157511,0.20988493426037685,7
hmg-1,0.04827035900477009,0.6001858429323571,0.35154379038431216,3
hme,0.09806639166112037,0.07448935991859282,0.8274442459123622,1091
gad- d45α,0.9994420409202576,0.00022454827558249235,0.0003333446802571416,1
dna,0.5670095061602698,0.21968357307961797,0.21330692129252615,172
mrf,0.15208032727241516,0.004849799443036318,0.8430699110031128,1
igfbp-2,0.00015530872042290866,0.0001506360713392496,0.9996941089630127,1
nos2,0.9783577024936676,0.020602907177817542,0.0010394174023531377,2
arhox6,0.5818955898284912,0.046671997755765915,0.3714323937892914,1
pdgfra,0.3343838224342714,0.12920324020281745,0.5364129119431406,6
