,Molecule Name,% Inhibitor,% Promoter,% Neither,Total Sentences Found
netrin,netrin,0.0390630542746154,0.9150156227585214,0.04592130502603071,26
ephrin,ephrin,0.6054071474737659,0.3233049396221759,0.07128790306160226,19
laminin,"laminin,laminin ( b",0.0660904208094585,0.819856876648574,0.11405270195422812,539
tenascin,tenascin,0.6472398332861485,0.22477841361684114,0.1279817534930771,100
cspg,"cspg,chondroitin sulfate proteoglycan,chondroitin-6- sulphate proteoglyca n,chon- droitin sulfate proteoglycans",0.6661122397805199,0.22850793509625544,0.10537982382897486,305
zymosan,zymosan,0.17800335345548643,0.7691902398385407,0.05280641062961963,42
camp,"camp,clic adenosine monophosphate",0.2391755903952435,0.6582804387332871,0.10254396957301651,250
pten,"pten,phosphatase and tensin,phosphatase and tensin homolog,phatase and tensin homolog",0.8943489252895674,0.04314663809748285,0.06250443825499105,363
cntf,"cntf,ciliary neurotrophic factor,ciliary neurotrophic factor,ciliary neurotrophic factor,ciliary neurotrophic factor",0.22242156357205853,0.6823071062465342,0.09527132937210095,278
lif,"lif,leukemia inhib­ itory factor,leukemia inhibitory  factor,leukemia inhibitory factor",0.5073746133830355,0.4365692579943546,0.056056126133626094,48
oncomodulin,oncomodulin,0.05629022179499244,0.8138930907374934,0.12981669839676838,19
stat3,"stat3,signal transducer and activator of transcription 3,signal transducers and activators of transcription 3,signal transducer and activator of transcription 3",0.38056176704668504,0.46276705867548235,0.1566711768988118,138
socs3,"socs3,suppressor of cytokine signaling 3,suppressor of cytokine signaling 3",0.7910746508659704,0.08171874400521757,0.12720659894051556,154
rhoa,"rhoa,ras homolog gene family member a,ras homolog gene family member a",0.8869922506460287,0.029018020449840174,0.08398974030938124,156
rock,"rock,rho-associated coiled-coil-containing protein kinase,reorganization by activating rho kinase",0.7270240325388758,0.044751618190482324,0.22822435566261198,88
y27632,y27632,0.9995294213294983,0.00024611694607301615,0.00022452200937550515,2
nogo,"nogo,nogo-a",0.9436716733468531,0.017940531543092594,0.0383877974121366,427
klf,"klf,kruppel-like transcription factor,kru¨ppel-like factors",0.2560370677855099,0.7175195991597139,0.02644332068914082,25
ngr,"ngr,nogo receptor,nogo receptor,nogo receptors 1 and 3,nogo-66 combined with its receptor",0.946230630168873,0.01601198044391356,0.037757392588412965,164
tlr2,tlr2,0.5633287827173868,0.32520906467107125,0.11146216342846553,3
bdnf,"bdnf,brain-derived neu­ rotrophic  factor,brain-derived neurotrophic factor-like,brain derived neurotrophic factor,brain-de­ rived neurotrophic factor,brain-derived neurotrophic factor",0.7105926365184628,0.18838443523508255,0.10102292758089666,587
igf1,igf1,0.5438298952173103,0.2407348608328241,0.21543525798386493,11
opn,"opn,osteopontin",0.10969580140663311,0.8345156678447633,0.05578852490299531,70
mag,"mag,myelin-associated glycoprotein,myelin-associated glycoprotein,myelin-associated glycoprotein,myelin-associated glycoprotein,myelin associated glycoprotein,myelin- associated glycoprotein",0.8863029105331345,0.07069236530273293,0.0430047205743154,524
omgp,"omgp,oligodendrocyte myelin glycopro- tein,oligodendrocyte myelin glycoprotein,oligodendrocyte myelin glycoprotein,oligodendrocyte myelin glycoprotein",0.9827001168211894,0.01295122296869522,0.004348654025008401,67
kspg,kspg,0.4666678192676045,0.5329653388616862,0.0003668451157864183,5
taxol,taxol,0.017134260736797427,0.8375507576221769,0.14531497688784095,11
olig2,"olig2,oligodendrocyte lineate transcription factor 2",0.29513906901688425,0.37223222443260184,0.3326287102467004,21
tcr,"tcr,t cell receptor",0.00019494531443342566,0.027032658457756042,0.9727723598480225,1
ache,"ache,acetylcholinesterase",0.10591066758453963,0.04240803029111703,0.8516812840104103,25
vip,"vip,vasoactive intestinal peptide",0.8843604922294617,0.11045888820081018,0.005180632942938246,4
dioa,"dioa,([dihydroindenyl)oxy]alkanoic acid",0.24846938863368917,0.17843804150588521,0.5730925803729553,74
dna,"dna,deoxyribonucleic  acid,deoxyribonucleic acid",0.5670094233315721,0.21968357026433,0.21330700824246165,172
mmp,"mmp,matrix metalloproteinase",0.7224637101947641,0.1613946850945164,0.11614158632841685,9
gag,"gag,glycosaminoglycan,glycosaminoglycan,glycosami- noglycan",0.5239589313130499,0.3154964451807187,0.1605446191532919,93
