,Sentence,Inhibitors,Promoters
0,?observations on the articulated tubu- lar structure of the brain and.,lar (inhibitor) ,
1,"more grey nerves should have proceeded to the muscu- lar parts, and fewer to the non-muscular, which is the reverse of the fact.",lar (inhibitor) ,
2,"what confers upon the ganglion the power of acting periodically and regularly, so as to stimulate the muscu- lar fibres at one moment, and not at the next?",lar (inhibitor) ,
3,"it may proceed in part from the muscle being deprived of the physical re-action of sensational nerves, in part from the abolishing effect on muscu- lar contraction always occasioned by great shook, and which always operates most considerably on parts supplied with cere- bral nerves, and therefore is manifested more by the sphincter ani than by the purely involuntary muscles.",lar (inhibitor) ,
4,"on an animal thus operated upon, i found all the muscular and superficial ramifications of the inferior surface of the tongue in a granu­ lar state.",lar (inhibitor) ,
5,"in the normal st.ate, this is covered with a thick crust of granu­ lar matter, which is easily detached after death, which accounts for its not being described by physiologists, who have only examined these papillm after death.",lar (inhibitor) ,
6,"three months after division of the lumbar spinal marrow of a frog, i could see no alteration of the tubu­ lar and globular matter ; but, if we simply consider the reunion or",lar (inhibitor) ,
7,"the pain is limited to the spine, and does not extend  to the muscu­ lar structures on either side of it.",lar (inhibitor) ,
8,"by h. miiller on theoretical and anatomical grounds, but  which has recently received its experimental confirmation at the hands of  m. prevost.1       muller discovered, in  the orbital cavity of mammalia, a funnel-shaped layer of smooth muscu­ lar fibres, provided with elastic tendons (musculus orbitaris), and so arranged as to be capable by their contraction of pro­ pelling the eyeball forward  in  its  socket.",lar (inhibitor) ,
9,vasomotor :o:erve-fibres for the large vascu­ lar territory of the abdomen.,lar (inhibitor) ,
10,"it  contracts  the smooth, muscu­ lar fibres of the bronchi, thus diminishing their calibre, and contracts also the stomach, intestines, and uterus.",lar (inhibitor) ,
11,the existence in the bronchi or a circular layer of smooth muscn­ lar fibres• renders such a spasm possible.,lar (inhibitor) ,
12,"nerves to the muscles of the limb ; 4th,  the  muscu­ lar  action itself.",lar (inhibitor) ,
13,"spliterhin der versucb gemacht werden nacbzuweisen, dass sich gewisse patholo­ gische veranderungen arn rlickenrnark nur dann verstehen )assen, wenn man mit der entwickelungsgeschichte des riickenmarkes vollig vertraut ist, und man mag es aus diesem grunde verzeihen, wenn schon in dieser kleinen abhandlung im voraus auf manche pirnkte",mag (inhibitor) ,
